1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_D, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_FF, Value : 0.3449999988079071, Default : 0.3449999988079071}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_IMAX, Value : 0.6660000085830688, Default : 0.6660000085830688}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_FLTT, Value : 3.0, Default : 3.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_FLTE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_FLTD, Value : 12.0, Default : 12.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_SMAX, Value : 150.0, Default : 150.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_PDMX, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_D_FF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_NTF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_NEF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW2SRV_SLIP, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW2SRV_INT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW2SRV_DAMP, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW2SRV_RLL, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW2SRV_IMAX, Value : 1500.0, Default : 1500.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : YAW_RATE_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_TCONST, Value : 0.75, Default : 0.75}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_P, Value : 1.7999999523162842, Default : 1.7999999523162842}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_I, Value : 0.20000000298023224, Default : 0.20000000298023224}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_D, Value : 0.004999999888241291, Default : 0.004999999888241291}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_IMAX, Value : 1500.0, Default : 1500.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_MINSPD, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_FF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_DRTSPD, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_DRTFCT, Value : 10.0, Default : 10.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STEER2SRV_DRTMIN, Value : 4500.0, Default : 4500.0}
